id,Test_Name,Category,Real_Vulnerability,CWE,createdAt,updatedAt
1,BenchmarkTest00001,pathtraver,true,22,2026-01-29T20:03:31.991Z,2026-01-29T20:03:31.991Z
2,BenchmarkTest00002,pathtraver,true,22,2026-01-29T20:03:31.999Z,2026-01-29T20:03:31.999Z
3,BenchmarkTest00003,hash,true,328,2026-01-29T20:03:32.000Z,2026-01-29T20:03:32.000Z
4,BenchmarkTest00004,trustbound,true,501,2026-01-29T20:03:32.002Z,2026-01-29T20:03:32.002Z
5,BenchmarkTest00005,crypto,true,327,2026-01-29T20:03:32.003Z,2026-01-29T20:03:32.003Z
6,BenchmarkTest00006,cmdi,true,78,2026-01-29T20:03:32.005Z,2026-01-29T20:03:32.005Z
7,BenchmarkTest00007,cmdi,true,78,2026-01-29T20:03:32.006Z,2026-01-29T20:03:32.006Z
8,BenchmarkTest00008,sqli,true,89,2026-01-29T20:03:32.008Z,2026-01-29T20:03:32.008Z
9,BenchmarkTest00009,hash,false,328,2026-01-29T20:03:32.009Z,2026-01-29T20:03:32.009Z
10,BenchmarkTest00010,weakrand,false,330,2026-01-29T20:03:32.010Z,2026-01-29T20:03:32.010Z
11,BenchmarkTest00011,pathtraver,true,22,2026-01-29T20:03:32.017Z,2026-01-29T20:03:32.017Z
12,BenchmarkTest00012,ldapi,true,90,2026-01-29T20:03:32.023Z,2026-01-29T20:03:32.023Z
13,BenchmarkTest00013,xss,true,79,2026-01-29T20:03:32.026Z,2026-01-29T20:03:32.026Z
14,BenchmarkTest00014,xss,true,79,2026-01-29T20:03:32.028Z,2026-01-29T20:03:32.028Z
15,BenchmarkTest00015,cmdi,true,78,2026-01-29T20:03:32.029Z,2026-01-29T20:03:32.029Z
16,BenchmarkTest00016,securecookie,false,614,2026-01-29T20:03:32.031Z,2026-01-29T20:03:32.031Z
17,BenchmarkTest00017,cmdi,true,78,2026-01-29T20:03:32.032Z,2026-01-29T20:03:32.032Z
18,BenchmarkTest00018,sqli,true,89,2026-01-29T20:03:32.033Z,2026-01-29T20:03:32.033Z
19,BenchmarkTest00019,crypto,true,327,2026-01-29T20:03:32.035Z,2026-01-29T20:03:32.035Z
20,BenchmarkTest00020,crypto,true,327,2026-01-29T20:03:32.036Z,2026-01-29T20:03:32.036Z
21,BenchmarkTest00021,ldapi,true,90,2026-01-29T20:03:32.038Z,2026-01-29T20:03:32.038Z
22,BenchmarkTest00022,hash,false,328,2026-01-29T20:03:32.039Z,2026-01-29T20:03:32.039Z
23,BenchmarkTest00023,weakrand,true,330,2026-01-29T20:03:32.040Z,2026-01-29T20:03:32.040Z
24,BenchmarkTest00024,sqli,true,89,2026-01-29T20:03:32.042Z,2026-01-29T20:03:32.042Z
25,BenchmarkTest00025,sqli,true,89,2026-01-29T20:03:32.043Z,2026-01-29T20:03:32.043Z
26,BenchmarkTest00026,sqli,true,89,2026-01-29T20:03:32.045Z,2026-01-29T20:03:32.045Z
27,BenchmarkTest00027,sqli,true,89,2026-01-29T20:03:32.048Z,2026-01-29T20:03:32.048Z
